@relation 'abalone_train-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.trees.J48 -C 0.25 -M 50-C-1-F0-T0.1-I0'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Class_number_of_rings {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@data
I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8
I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
M,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9
F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9
M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9
M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11
F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7
I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
F,0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,11
M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11
F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
F,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11
I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7
I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11
M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
M,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11
M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11
I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,8
I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
F,0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
M,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10
M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
F,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,11
M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11
M,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
F,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11
F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
F,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
M,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11
M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
I,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
M,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10
M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
F,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10
M,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9
M,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10
M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9
M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10
F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10
F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
F,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11
M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11
F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
F,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,11
I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5
I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
I,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7
I,0.435,0.325,0.12,0.346,0.159,0.084,0.095,7
M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5
I,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5
I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7
M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11
F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11
F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5
I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033,5
I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8
M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
F,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,9
M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,10
M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10
I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11
I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
F,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9
F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
M,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10
F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11
F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9
F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8
F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,9
M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
F,0.615,0.475,0.17,1.055,0.543,0.246,0.2345,9
F,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,9
M,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,10
M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,10
M,0.63,0.465,0.15,1.027,0.537,0.188,0.176,8
M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9
M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
M,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,11
F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11
M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,11
I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7
I,0.415,0.335,0.1,0.358,0.169,0.067,0.105,7
I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7
I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8
M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
M,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10
F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11
M,0.71,0.565,0.2,1.601,0.706,0.321,0.45,11
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
I,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,7
I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
M,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
M,0.6,0.45,0.16,1.142,0.539,0.225,0.307,10
M,0.625,0.475,0.175,1.3405,0.656,0.283,0.337,10
F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
M,0.695,0.54,0.195,1.691,0.768,0.363,0.4755,11
F,0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11
I,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
I,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8
I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,10
F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10
F,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,11
M,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355,10
M,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395,11
F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11
F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11
F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11
I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8
M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8
M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
M,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,11
M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11
F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11
I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5
I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7
M,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11
I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5
I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
M,0.585,0.46,0.15,1.206,0.581,0.216,0.323,10
I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10
M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
